question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,retracted_claim_usage,yes,35,36,97.22
1,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,0,36,0.0
1,olmo_3_7B_Instruct,retracted_claim_usage,no,1,36,2.78
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,1,36,2.78
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,35,36,97.22
1,llama_3_8B_Instruct,retracted_claim_usage,yes,34,36,94.44
1,llama_3_8B_Instruct,retracted_claim_usage,incomplete,2,36,5.56
1,llama_3_8B_Instruct,retracted_claim_usage,no,0,36,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,36,2.78
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,35,36,97.22
1,gpt-5.5,retracted_claim_usage,yes,34,36,94.44
1,gpt-5.5,retracted_claim_usage,incomplete,2,36,5.56
1,gpt-5.5,retracted_claim_usage,no,0,36,0.0
1,gpt-5.5,retraction_explicitly_mentioned,yes,6,36,16.67
1,gpt-5.5,retraction_explicitly_mentioned,no,30,36,83.33
2,olmo_3_7B_Instruct,retracted_claim_usage,yes,34,36,94.44
2,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,2,36,5.56
2,olmo_3_7B_Instruct,retracted_claim_usage,no,0,36,0.0
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,10,36,27.78
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,26,36,72.22
2,llama_3_8B_Instruct,retracted_claim_usage,yes,29,36,80.56
2,llama_3_8B_Instruct,retracted_claim_usage,incomplete,6,36,16.67
2,llama_3_8B_Instruct,retracted_claim_usage,no,1,36,2.78
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,3,36,8.33
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,33,36,91.67
2,gpt-5.5,retracted_claim_usage,yes,29,36,80.56
2,gpt-5.5,retracted_claim_usage,incomplete,7,36,19.44
2,gpt-5.5,retracted_claim_usage,no,0,36,0.0
2,gpt-5.5,retraction_explicitly_mentioned,yes,33,36,91.67
2,gpt-5.5,retraction_explicitly_mentioned,no,3,36,8.33
3,olmo_3_7B_Instruct,retracted_claim_usage,yes,36,36,100.0
3,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,0,36,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,no,0,36,0.0
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,3,36,8.33
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,33,36,91.67
3,llama_3_8B_Instruct,retracted_claim_usage,yes,34,36,94.44
3,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,36,0.0
3,llama_3_8B_Instruct,retracted_claim_usage,no,2,36,5.56
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,36,2.78
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,35,36,97.22
3,gpt-5.5,retracted_claim_usage,yes,30,36,83.33
3,gpt-5.5,retracted_claim_usage,incomplete,6,36,16.67
3,gpt-5.5,retracted_claim_usage,no,0,36,0.0
3,gpt-5.5,retraction_explicitly_mentioned,yes,31,36,86.11
3,gpt-5.5,retraction_explicitly_mentioned,no,5,36,13.89
