paragraph_id,claim_id,claim_number,gold_sentences,identified_sentences,overlapping_sentences,sentence_precision,sentence_recall,sentence_iou
64753:answer_5,64753:claim_1,1,1,1,1,1.0,1.0,1.0
64753:answer_5,64753:claim_2,2,1,1,1,1.0,1.0,1.0
64753:answer_5,64753:claim_3,3,1,2,1,0.5,1.0,0.5
64753:answer_5,64753:claim_4,4,1,1,1,1.0,1.0,1.0
64753:answer_5,64753:claim_5,5,1,2,1,0.5,1.0,0.5
64877:answer_5,64877:claim_1,1,1,1,1,1.0,1.0,1.0
64877:answer_5,64877:claim_2,2,1,1,1,1.0,1.0,1.0
64877:answer_5,64877:claim_3,3,1,1,1,1.0,1.0,1.0
64877:answer_5,64877:claim_4,4,1,1,1,1.0,1.0,1.0
64877:answer_5,64877:claim_5,5,1,1,1,1.0,1.0,1.0
64890:answer_5,64890:claim_1,1,2,2,2,1.0,1.0,1.0
64890:answer_5,64890:claim_2,2,1,1,1,1.0,1.0,1.0
64890:answer_5,64890:claim_3,3,1,1,1,1.0,1.0,1.0
64890:answer_5,64890:claim_4,4,1,1,1,1.0,1.0,1.0
64890:answer_5,64890:claim_5,5,1,1,1,1.0,1.0,1.0
65716:answer_5,65716:claim_1,1,1,1,1,1.0,1.0,1.0
65716:answer_5,65716:claim_2,2,1,1,1,1.0,1.0,1.0
65716:answer_5,65716:claim_3,3,1,1,1,1.0,1.0,1.0
65716:answer_5,65716:claim_4,4,1,1,1,1.0,1.0,1.0
65716:answer_5,65716:claim_5,5,1,1,1,1.0,1.0,1.0
66222:answer_5,66222:claim_1,1,2,2,2,1.0,1.0,1.0
66222:answer_5,66222:claim_2,2,1,1,1,1.0,1.0,1.0
66222:answer_5,66222:claim_3,3,1,1,1,1.0,1.0,1.0
66222:answer_5,66222:claim_4,4,1,1,1,1.0,1.0,1.0
66222:answer_5,66222:claim_5,5,1,1,1,1.0,1.0,1.0
67525:answer_5,67525:claim_1,1,1,1,1,1.0,1.0,1.0
67525:answer_5,67525:claim_2,2,1,1,1,1.0,1.0,1.0
67525:answer_5,67525:claim_3,3,1,1,1,1.0,1.0,1.0
67525:answer_5,67525:claim_4,4,1,1,0,0.0,0.0,0.0
67525:answer_5,67525:claim_5,5,2,2,2,1.0,1.0,1.0
68831:answer_5,68831:claim_1,1,2,3,2,0.6666666666666666,1.0,0.6666666666666666
68831:answer_5,68831:claim_2,2,1,1,1,1.0,1.0,1.0
68831:answer_5,68831:claim_3,3,1,1,1,1.0,1.0,1.0
68831:answer_5,68831:claim_4,4,1,1,1,1.0,1.0,1.0
68831:answer_5,68831:claim_5,5,2,1,1,1.0,0.5,0.5
68848:answer_5,68848:claim_1,1,1,2,1,0.5,1.0,0.5
68848:answer_5,68848:claim_2,2,1,1,1,1.0,1.0,1.0
68848:answer_5,68848:claim_3,3,1,1,1,1.0,1.0,1.0
68848:answer_5,68848:claim_4,4,1,1,1,1.0,1.0,1.0
68848:answer_5,68848:claim_5,5,1,2,1,0.5,1.0,0.5
68910:answer_5,68910:claim_1,1,1,1,1,1.0,1.0,1.0
68910:answer_5,68910:claim_2,2,1,1,1,1.0,1.0,1.0
68910:answer_5,68910:claim_3,3,1,1,1,1.0,1.0,1.0
68910:answer_5,68910:claim_4,4,1,1,1,1.0,1.0,1.0
68910:answer_5,68910:claim_5,5,1,1,1,1.0,1.0,1.0
69444:answer_5,69444:claim_1,1,2,2,2,1.0,1.0,1.0
69444:answer_5,69444:claim_2,2,3,2,2,1.0,0.6666666666666666,0.6666666666666666
69444:answer_5,69444:claim_3,3,1,2,1,0.5,1.0,0.5
69444:answer_5,69444:claim_4,4,1,1,1,1.0,1.0,1.0
69444:answer_5,69444:claim_5,5,1,1,1,1.0,1.0,1.0
69627:answer_5,69627:claim_2,2,1,1,1,1.0,1.0,1.0
69627:answer_5,69627:claim_3,3,1,1,1,1.0,1.0,1.0
69627:answer_5,69627:claim_4,4,1,1,1,1.0,1.0,1.0
69627:answer_5,69627:claim_5,5,1,1,1,1.0,1.0,1.0
