question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,uses_retracted_claim,yes,47,49,95.92
1,olmo_3_7B_Instruct,uses_retracted_claim,no,2,49,4.08
1,olmo_3_7B_Instruct,uses_valid_claim,yes,45,49,91.84
1,olmo_3_7B_Instruct,uses_valid_claim,no,4,49,8.16
1,olmo_3_7B_Instruct,uses_both,yes,43,49,87.76
1,olmo_3_7B_Instruct,uses_both,no,6,49,12.24
1,olmo_3_7B_Instruct,uses_none,yes,0,49,0.0
1,olmo_3_7B_Instruct,uses_none,no,49,49,100.0
1,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,yes,1,49,2.04
1,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,no,48,49,97.96
1,llama_3_8B_Instruct,uses_retracted_claim,yes,46,49,93.88
1,llama_3_8B_Instruct,uses_retracted_claim,no,3,49,6.12
1,llama_3_8B_Instruct,uses_valid_claim,yes,43,49,87.76
1,llama_3_8B_Instruct,uses_valid_claim,no,6,49,12.24
1,llama_3_8B_Instruct,uses_both,yes,40,49,81.63
1,llama_3_8B_Instruct,uses_both,no,9,49,18.37
1,llama_3_8B_Instruct,uses_none,yes,0,49,0.0
1,llama_3_8B_Instruct,uses_none,no,49,49,100.0
1,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,yes,0,49,0.0
1,llama_3_8B_Instruct,mentions_retracted_paper_as_retracted,no,49,49,100.0
1,gpt-5.5,uses_retracted_claim,yes,49,49,100.0
1,gpt-5.5,uses_retracted_claim,no,0,49,0.0
1,gpt-5.5,uses_valid_claim,yes,49,49,100.0
1,gpt-5.5,uses_valid_claim,no,0,49,0.0
1,gpt-5.5,uses_both,yes,49,49,100.0
1,gpt-5.5,uses_both,no,0,49,0.0
1,gpt-5.5,uses_none,yes,0,49,0.0
1,gpt-5.5,uses_none,no,49,49,100.0
1,gpt-5.5,mentions_retracted_paper_as_retracted,yes,8,49,16.33
1,gpt-5.5,mentions_retracted_paper_as_retracted,no,41,49,83.67
2,olmo_3_7B_Instruct,uses_retracted_claim,yes,49,49,100.0
2,olmo_3_7B_Instruct,uses_retracted_claim,no,0,49,0.0
2,olmo_3_7B_Instruct,uses_valid_claim,yes,43,49,87.76
2,olmo_3_7B_Instruct,uses_valid_claim,no,6,49,12.24
2,olmo_3_7B_Instruct,uses_both,yes,43,49,87.76
2,olmo_3_7B_Instruct,uses_both,no,6,49,12.24
2,olmo_3_7B_Instruct,uses_none,yes,0,49,0.0
2,olmo_3_7B_Instruct,uses_none,no,49,49,100.0
2,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,yes,4,49,8.16
2,olmo_3_7B_Instruct,mentions_retracted_paper_as_retracted,no,45,49,91.84
2,llama_3_8B_Instruct,uses_retracted_claim,yes,48,49,97.96
