case,paragraph_id,claim_id,decision,gold_characters,identified_characters,overlapping_characters,missed_gold_characters,extra_predicted_characters,character_recall,character_iou
64753 / claim_1,64753:answer_5,64753:claim_1,used,201,92,91,110,1,0.4527363184079602,0.4504950495049505
64753 / claim_2,64753:answer_5,64753:claim_2,used,179,238,179,0,59,1.0,0.7521008403361344
64753 / claim_3,64753:answer_5,64753:claim_3,used,55,267,55,0,212,1.0,0.20599250936329588
64753 / claim_4,64753:answer_5,64753:claim_4,used,87,133,60,27,73,0.6896551724137931,0.375
64753 / claim_5,64753:answer_5,64753:claim_5,used,170,357,170,0,187,1.0,0.47619047619047616
64877 / claim_1,64877:answer_5,64877:claim_1,used,245,245,245,0,0,1.0,1.0
64877 / claim_2,64877:answer_5,64877:claim_2,used,168,169,168,0,1,1.0,0.9940828402366864
64877 / claim_3,64877:answer_5,64877:claim_3,used,166,167,166,0,1,1.0,0.9940119760479041
64877 / claim_4,64877:answer_5,64877:claim_4,used,147,148,147,0,1,1.0,0.9932432432432432
64877 / claim_5,64877:answer_5,64877:claim_5,used,151,152,151,0,1,1.0,0.993421052631579
64890 / claim_1,64890:answer_5,64890:claim_1,used,241,302,241,0,61,1.0,0.7980132450331126
64890 / claim_2,64890:answer_5,64890:claim_2,used,185,186,185,0,1,1.0,0.9946236559139785
64890 / claim_3,64890:answer_5,64890:claim_3,used,184,194,184,0,10,1.0,0.9484536082474226
64890 / claim_4,64890:answer_5,64890:claim_4,used,194,195,194,0,1,1.0,0.9948717948717949
64890 / claim_5,64890:answer_5,64890:claim_5,used,113,138,113,0,25,1.0,0.8188405797101449
65716 / claim_1,65716:answer_5,65716:claim_1,used,203,205,203,0,2,1.0,0.9902439024390244
65716 / claim_2,65716:answer_5,65716:claim_2,used,172,174,172,0,2,1.0,0.9885057471264368
65716 / claim_3,65716:answer_5,65716:claim_3,used,270,272,270,0,2,1.0,0.9926470588235294
65716 / claim_4,65716:answer_5,65716:claim_4,used,168,170,168,0,2,1.0,0.9882352941176471
65716 / claim_5,65716:answer_5,65716:claim_5,used,168,170,168,0,2,1.0,0.9882352941176471
66222 / claim_1,66222:answer_5,66222:claim_1,used,288,288,288,0,0,1.0,1.0
66222 / claim_2,66222:answer_5,66222:claim_2,used,142,143,142,0,1,1.0,0.993006993006993
66222 / claim_3,66222:answer_5,66222:claim_3,used,164,165,164,0,1,1.0,0.9939393939393939
66222 / claim_4,66222:answer_5,66222:claim_4,used,173,174,173,0,1,1.0,0.9942528735632183
66222 / claim_5,66222:answer_5,66222:claim_5,used,194,204,194,0,10,1.0,0.9509803921568627
67525 / claim_1,67525:answer_5,67525:claim_1,used,165,166,165,0,1,1.0,0.9939759036144579
67525 / claim_2,67525:answer_5,67525:claim_2,used,90,122,90,0,32,1.0,0.7377049180327869
67525 / claim_3,67525:answer_5,67525:claim_3,used,186,187,186,0,1,1.0,0.9946524064171123
67525 / claim_4,67525:answer_5,67525:claim_4,used,122,123,0,122,123,0.0,0.0
67525 / claim_5,67525:answer_5,67525:claim_5,used,241,241,240,1,1,0.995850622406639,0.9917355371900827
68831 / claim_1,68831:answer_5,68831:claim_1,used,338,364,338,0,26,1.0,0.9285714285714286
